,ranks,title,no_of_reviews,ratings,author,cover_type,year
61,64,Ford County: Stories,"4,312",4.4,John Grisham,Hardcover,2009
62,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies","1,094",4.6,Michelle Malkin,Hardcover,2009
63,66,Blink: The Power of Thinking Without Thinking,"8,649",4.5,Malcolm Gladwell,Paperback,2009
64,67,"Diary of a Wimpy Kid, Book 1","16,602",4.8,Jeff Kinney,Hardcover,2009
65,68,The Graveyard Book,"7,147",4.7,Neil Gaiman,Hardcover,2009
66,69,An Echo in the Bone (Outlander),"16,906",4.8,Diana Gabaldon,Hardcover,2009
67,70,"The Gathering Storm (Wheel of Time, Book 12)","6,356",4.8,Robert Jordan,Hardcover,2009
68,71,Dreams from My Father: A Story of Race and Inheritance,"7,582",4.7,Barack Obama,Paperback,2009
69,72,Pirate Latitudes: A Novel,"2,840",4.3,Michael Crichton,Hardcover,2009
70,73,The Official SAT Study Guide: For the New SAT (tm),The College Board,4.5,,Paperback,2009
71,74,Getting Things Done: The Art of Stress-Free Productivity,"4,737",4.6,David Allen,Paperback,2009
72,75,How to Win Friends & Influence People,"79,206",4.7,Dale Carnegie,Paperback,2009
73,76,The Official SAT Study Guide,The College Board,4.4,,Paperback,2009
74,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),"3,314",4.6,Janet Evanovich,Hardcover,2009
75,78,Sarah's Key,"4,784",4.6,Tatiana de Rosnay,Paperback,2009
76,79,From Dead to Worse (Sookie Stackhouse/True Blood),"2,082",4.7,Charlaine Harris,Mass Market Paperback,2009
77,80,Wolf Hall,"10,830",4.1,Hilary Mantel,Hardcover,2009
78,81,The Hunger Games,"42,787",4.7,Suzanne Collins,Hardcover,2009
79,82,The Yankee Years,425,4.6,Joe Torre,Hardcover,2009
80,83,Push: A Novel,"1,477",4.6,Sapphire,Paperback,2009
81,84,The End of Overeating: Taking Control of the Insatiable American Appetite,956,4.3,David Kessler,Hardcover,2009
82,85,The Lacuna: A Novel,"1,787",4.3,Barbara Kingsolver,Hardcover,2009
83,86,Crucial Conversations: Tools for Talking When Stakes are High,772,4.5,Kerry Patterson,Paperback,2009
84,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,"2,197",4.7,Nicholas D. Kristof,Hardcover,2009
85,88,The Associate,"3,836",4.4,John Grisham,Hardcover,2009
86,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,"2,189",4.7,Jeff Hertzberg,Hardcover,2009
87,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,4.5,,Paperback,2009
88,91,Pursuit of Honor,"3,529",4.7,Vince Flynn,Hardcover,2009
89,92,What the Dog Saw: And Other Adventures,"2,144",4.6,Malcolm Gladwell,Hardcover,2009
90,93,The Last Song,"3,601",4.7,Nicholas Sparks,Hardcover,2009
91,94,Atlas Shrugged,"14,154",4.5,Ayn Rand,Paperback,2009
92,95,The White Tiger: A Novel,"6,017",4.3,Aravind Adiga,Paperback,2009
93,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,3.5,,Hardcover,2009
94,97,Same Kind of Different As Me,Ron Hall,4.7,,Paperback,2009
95,98,U is for Undertow: A Kinsey Millhone Novel,"2,807",4.6,Sue Grafton,Hardcover,2009
96,99,Catching Fire (The Hunger Games),"32,476",4.7,Suzanne Collins,Hardcover,2009
